Iteration,PSNR
0,18.0187
50,20.4390
100,20.5608
150,20.9696
200,21.6665
250,22.0731
300,22.2576
350,22.6638
400,22.9460
450,23.1069
500,23.2356
550,23.1729
600,23.2521
650,23.4368
700,23.3544
750,23.5524
800,23.5870
850,23.4964
900,23.5491
950,23.6925
1000,23.7928
